ksss;competitor;segment
155113;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155114;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155115;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155116;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155117;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155124;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
155125;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
155134;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
155131;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
155132;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134140;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
134141;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
134142;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134143;Нет конкурентов ;1
134144;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
134190;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134194;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
134145;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
134146;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
134147;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134150;Наличие объектов общественного питания в шаговой доступности от АЗС;1
135802;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134148;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
134152;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134153;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
134155;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134156;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134157;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
134159;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134161;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134162;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134163;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134164;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
135040;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134165;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134167;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134169;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134170;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134173;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
134174;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
135055;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
135017;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134175;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134168;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134171;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134172;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134160;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134149;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134154;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
134151;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134158;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
134166;Наличие объектов общественного питания в шаговой доступности от АЗС;0
161203;Нет конкурентов ;0
161201;Нет конкурентов ;0
5000;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
7066;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3137;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3174;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3175;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
3189;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
8159;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
9244;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
3219;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
3218;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3217;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3159;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3158;Нет конкурентов ;0
3247;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
3124;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3156;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
3155;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3179;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3154;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
3153;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
